sample1	sample2	baf_correlation	mean_segment_concordance	overall_concordance	concordance_quality	sampleID
3M2	3X1	0.999992142829518	0.983540946621605	0.991766544725561	Excellent	3
3M5	3X2-1	1	0.970971937927949	0.985485968963975	Excellent	3
3M5	3X1	0.999995285685308	0.984175230880231	0.992085258282769	Excellent	3
3M2	3X2-1	0.999990571960614	0.977864131887849	0.988927351924232	Excellent	3
5M1	5X1	0.999992291073864	0.97453280025394	0.987262545663902	Excellent	5
5M1	5X2	0.999981416326372	0.968120753852581	0.984051085089476	Excellent	5
5M2	5X1	0.999992268833196	0.972596523532976	0.986294396183086	Excellent	5
5M2	5X2	0.999981367982109	0.960817959266563	0.980399663624336	Excellent	5
6M1	6X2	0.999990730749817	0.969077087284258	0.984533909017038	Excellent	6
6M3	6X2	0.999987645035166	0.972494750823054	0.98624119792911	Excellent	6
6M3	6X1	0.999970390493706	0.970230474657688	0.985100432575697	Excellent	6
6M1	6X1	0.99997193930882	0.957199536291989	0.978585737800405	Excellent	6
7M1	7X1	0.999996974498183	0.980449393205148	0.990223183851665	Excellent	7
7M1	7X2	0.99999394696943	0.979825394047987	0.989909670508708	Excellent	7
7M2	7X1	0.999998486989035	0.974971796465898	0.987485141727467	Excellent	7
7M2	7X2	0.99999243307301	0.975006522587336	0.987499477830173	Excellent	7
8M1	8X1	0.999990632585329	0.973573641884736	0.986782137235032	Excellent	8
8M1	8X2	0.999976502173845	0.96940101895052	0.984688760562182	Excellent	8
9M1	9X1	0.999992328283407	0.973300079284142	0.986646203783774	Excellent	9
9M1	9X2	0.999995400383781	0.97258810340973	0.986291751896755	Excellent	9
9M2	9X1	0.999992337724414	0.973024693055787	0.9865085153901	Excellent	9
9M2	9X2	0.999995405910313	0.980124427172773	0.990059916541543	Excellent	9
11M8	11X3-2	0.999932628077588	0.969281599505818	0.984607113791703	Excellent	11
11M8	11X3-1	0.999903277217074	0.973858859271515	0.986881068244295	Excellent	11
11M9	11X3-2	0.999940917627334	0.968034460152116	0.983987688889725	Excellent	11
11M9	11X3-1	0.999955269726881	0.95863364379255	0.979294456759715	Excellent	11
15M1	15X1	0.99998910001379	0.977751756970034	0.988870428491912	Excellent	15
15M1	15X2	0.999987557101363	0.982006495284382	0.990997026192872	Excellent	15
16M3	16X1	0.999993973176152	0.981386074322218	0.990690023749185	Excellent	16
16M3	16X2	0.999992465497479	0.982173901946365	0.991083183721922	Excellent	16
